25,60,10,1000,Hamms
1,40,76,1000,Beer
68,56,95,1000,Grain
28,5,40,1000,Belt
98,90,35,1000,Bud
50,40,78,1000,beer
80,1,70,1000,beer2
98,34,180,1000,beer3
2,5,98,1000,beer4
2,5,98,1000,beer4
14,77,77,1000,beer5
34,87,45,1000,beer6
21,21,25,1000,beer7
50,50,50,1000,beer8
58,23,5,1000,beer9
82,17,48,1000,beer10
/
5,60,10,50,Hamms
1,40,76,50,Beer
68,56,95,50,Grain
28,5,40,50,Belt
98,90,35,50,Bud
50,40,78,50,beer
80,1,70,50,beer2
98,34,180,50,beer3
2,5,98,50,beer4
2,5,98,50,beer4
14,77,77,50,beer5
34,87,45,50,beer6
21,21,25,50,beer7
50,50,50,50,beer8
58,23,5,50,beer9
82,17,48,50,beer10
/
225,60,10,5,Hamms
1,40,76,5,Beer
68,56,95,20,Grain
/
